Sample ID,Class,CMPD1,CMPD2,CBDVA,CMPD3,CMPD4,CMPD5,CMPD6,CBDA,CMPD7,CMPD8,CBGA,CMPD9,CMPD10,THCV,CMPD11,CBD,CMPD12,CBG,CMPD13,CMPD14,CMPD15,CMPD16,CMPD17,THCA,CBN,CMPD18,THC,8-THC,CBC,CMPD19,CMPD20,CMPD21
can13-1,LC-VHT,0.031532973,,,,0.041626866,,,,0.077983883,0.086193376,0.244960928,0.026457898,0.097512268,0.364666852,0.032826431,,,0.087976623,0.011235924,0.009277028,,,0.093698077,14.92273599,,,0.969251859,0.256280499,0.02368288,0.02969737,,0.024876684
can13-2,LC-VHT,0.029120507,,,,0.03789611,,,,0.081249299,0.079521934,0.224008835,0.011168572,0.084486167,0.34985821,0.01842282,,,0.101592755,0.013569211,0.005261135,,,0.069689379,14.0075786,,,0.902165948,0.241703604,0.023164103,0.025824207,,0.022256916
can13-3,LC-VHT,0.028768118,,,,0.039853299,,,,0.081553217,0.083424019,0.236800939,0.021526027,0.080529912,0.37134273,0.018070733,,,0.107068387,0.013251437,0.013476989,,,0.076359334,14.51307517,,,0.936174808,0.240475169,0.021541281,0.028740045,,0.027853864
can14-1,HC-HT,0.085735938,,0.026129197,0.03576917,,,0.009873638,8.001609001,0.033872141,0.017306236,0.264814174,0.026827284,,0.108413131,0.061251426,0.58900499,,0.117045319,,0.055076664,,0.166414927,,5.223972879,0.01518713,0.063735535,1.11710836,0.074228872,0.05494919,0.007002681,,0.014269571
can14-2,HC-HT,0.091441178,,0.025918982,0.034929186,,,0.011936718,8.124582351,0.042538532,0.017470626,0.263803258,0.021221369,,0.114069381,0.05848895,0.596185554,,0.129899996,,0.060374765,,0.170369617,,5.292754167,0.015813419,0.067947111,1.123917871,0.079941322,0.060849611,0.007296773,,0.02517894
can14-3,HC-HT,0.087294352,,0.028375932,0.033985667,,,0.012881928,7.894432058,0.048279929,0.024279253,0.24681041,0.018939848,,0.106276705,0.052758156,0.577027197,,0.129999568,,0.04227901,,0.161894063,,5.150792236,0.018185525,0.068012329,1.12382073,0.075396755,0.058729686,,,0.019252403
can19-1,HC-HT,0.130796105,,0.11619277,,,,0.014110819,10.93896587,0.059486542,0.05625284,0.474130858,0.02059044,0.051890433,0.315973593,0.042602824,0.393732162,,0.085328268,,0.068330952,0.008464488,,0.208674504,5.326869333,,0.113458607,0.384839657,0.078222315,0.035591321,,,
can19-2,HC-HT,0.133708304,,0.117849881,,,,0.013146807,11.00112652,0.06083159,0.049169158,0.469108538,0.015541076,0.056812845,0.311858305,0.053353484,0.392817638,,0.088629772,,0.068106804,0.016402546,,0.201863704,5.369361419,,0.124194849,0.374883767,0.082409967,0.028218824,,,
can19-3,HC-HT,0.123954009,,0.111070721,,,,0.012196834,10.4721909,0.054942613,0.038309188,0.44689116,0.008108583,0.056287915,0.287607157,0.050159406,0.364310521,,0.076749385,,0.065334957,0.005284321,,0.203973877,5.117478,,0.113349419,0.352455652,0.076530578,0.034304097,,,
can21-1,LC-VHT,0.009059687,0.245820715,,,,,,,0.179621612,0.094792012,0.978577564,,0.051261465,0.883154724,0.158784404,0.019881609,0.069725652,0.10781556,,0.079159052,,0.065017294,,17.16763022,0.024911505,,0.621892651,,0.024877304,,,
can21-2,LC-VHT,0.007786514,0.24258052,,,,,,,0.170833798,0.091489663,0.963137058,,0.05068268,0.88109115,0.148123074,0.030683269,0.063807909,0.108039025,,0.081449957,,0.061679492,,16.85483022,0.022329502,,0.940928456,,0.024243161,,,
can21-3,LC-VHT,0.009489261,0.253944752,,,,,,,0.179555641,0.090628559,0.992906379,,0.050530238,0.901810668,0.162281072,0.027258298,0.076486881,0.104010775,,0.095295825,,0.077161333,,17.71865395,0.029219808,,0.945758292,,0.024884184,,,
can23-1,LC-HT,0.033538819,,,,0.018614674,,,,0.016869522,0.082593831,0.241360699,0.0138135,,0.133191727,0.045056749,,0.009456401,0.031738132,,0.021068999,,0.048588705,,9.533561299,0.020836041,,0.67995545,,0.020836041,0.009595493,0.024560426,
can23-2,LC-HT,0.041143682,,,,0.021090708,,,0.006108779,0.021032466,0.098895376,0.276132277,0.017064686,,0.13986784,0.053721407,,0.013172171,0.040856617,,0.022224941,,0.063665353,,10.84969203,0.031934229,,0.743712186,,0.019416215,0.010415619,0.030502772,0.013444453
can23-3,LC-HT,0.042323975,,,,0.022024529,,,0.006964183,0.027696181,0.103448892,0.27598439,0.020324635,,0.14153673,0.055691991,,0.01485634,0.035518208,,0.028997316,,0.065095842,,10.88131254,0.031297921,,0.769194122,,0.018528026,0.007694457,0.030339255,0.016772056
can26-1,LC-VHT,0.014335728,,,,0.024389532,,,,0.10734115,0.030592252,0.510427581,,,0.122639065,0.055445892,,,0.166441113,,0.023592631,,,0.051594014,20.31835039,,,0.428977275,0.540270071,0.023401282,,,
can26-2,LC-VHT,0.012094391,,,,0.024793892,,,,0.115837208,0.034214144,0.514627617,,,0.125998969,0.072522583,,,0.182654375,,0.023034647,,,0.063965848,20.86189493,,,0.448942469,0.549992834,,0.02594732,,0.013587095
can26-3,LC-VHT,0.018798548,,,,0.028276138,,,,0.117531681,0.035037922,0.53330909,,,0.146239413,0.056833328,,,0.187925758,,0.02656831,,,0.060054599,20.94960062,,,0.444189923,0.566929803,0.024699687,0.016573081,,0.014376736
can28-1,LC-HT,0.030975746,,,,,,,0.008473833,0.197658463,0.071651189,0.310049028,0.013446865,,0.255230731,0.016853648,0.029074568,0.013404102,0.0130282,,0.023344008,,0.066457009,,8.275758046,0.020017336,,0.509057756,,0.026039731,,,
can28-2,LC-HT,0.032122275,,,,0.007729702,,,0.006025165,0.21062187,0.07446394,0.305881612,0.017164793,,0.254426299,0.018204531,0.030765202,0.026322927,0.013012086,,0.025784112,,0.071632949,,8.413769851,0.017489706,,0.526155515,,0.025476456,,,
can28-3,LC-HT,0.033104384,,,,0.00705134,,,0.006135278,0.221368236,0.084338373,0.329257548,0.007962804,,0.259414328,0.017450503,0.029964139,0.01885752,0.009640933,,0.029412231,,0.056571132,,8.859852798,0.016518748,,0.528577533,,0.028129413,,,
can30-1,HC-MT,0.061267059,,0.034940209,,0.006161901,,0.018068756,9.531593759,0.016225801,0.016688041,0.459456502,,0.030495105,0.361860815,0.016191569,0.324908961,,0.094382882,,0.030380363,0.010890228,0.112598516,,3.130154169,0.019048048,0.035754064,0.322120542,0.030384669,0.044621666,,,
can30-2,HC-MT,0.061830667,,0.034973725,,0.005427807,,0.012744602,9.695380586,0.02284901,,0.463505668,0.01749276,0.018807964,0.35646583,0.012433255,0.317330024,,0.096601599,,0.030633437,0.009446882,0.111942953,,3.205135247,0.020280597,0.036157066,0.313776559,0.03408193,0.045050363,,,
can30-3,HC-MT,0.058959123,,0.03283215,,,,0.013901533,9.670618065,0.01191504,0.00880691,0.475514803,0.016744868,0.024187581,0.359522646,0.010133668,0.332530809,,0.107488701,,0.038125466,0.01016221,0.113652928,,3.19591248,0.018390473,0.035554975,0.321053862,0.030730383,0.043751213,,,
can31-1,HC-HT,0.10990815,,0.051978383,,0.025623017,,0.018831563,8.097760465,0.080217432,0.09217409,0.300216801,0.029646515,,0.36893926,0.06290966,0.641582167,,0.108587641,0.023309691,0.044116064,0.013259286,0.16284301,,6.175294507,0.044441917,0.05833623,1.244189386,,0.05480298,0.010103592,,0.022460327
can31-2,HC-HT,0.106725822,,0.053271818,,0.030105145,,0.018112136,8.159949088,0.089742606,0.098310241,0.303595355,0.034874693,,0.355619001,0.057901942,0.627056262,,0.107067059,0.03827894,0.039036455,0.008323965,0.172548165,,6.213730392,0.03859838,0.058638885,1.207080986,,0.062649662,0.01394412,,0.02031204
can31-3,HC-HT,0.114030325,,0.053805782,,0.027642876,,0.018581865,8.389528332,0.087687394,0.098322716,0.305402065,0.032754224,,0.344866243,0.058888319,0.629700148,,0.104819772,0.028983931,0.040112035,0.016107339,0.174588597,,6.397867318,0.038466131,0.05711048,1.231857189,,0.057574083,0.012749602,,0.017738165
can35-1,HC-MT,0.058393797,,0.025657009,,0.008657579,,0.02425824,5.514538014,0.02393772,0.066710382,0.148269971,0.008514176,,0.077056413,0.012822792,0.797495596,,0.063665277,,,,0.104622278,,2.526204966,0.055542606,0.033291707,0.680906685,0.214337411,0.060083321,,,0.015257233
can35-2,HC-MT,0.061721994,,0.024416663,,0.00766634,,0.022969797,5.483407185,0.029335418,0.0700269,0.160087595,0.011481548,,0.076365798,0.017760948,0.783961356,,0.057139265,,,,0.102712393,,2.522339624,0.055983023,0.034792323,0.68008297,0.220764931,0.065357687,,,0.013609599
can35-3,HC-MT,0.058408302,,0.024954549,,0.00906275,,0.022876367,5.458111807,0.027322627,0.078583724,0.161907732,0.00912471,,0.073587261,0.020561371,0.785824218,,0.055743884,,,,0.105495667,,2.512151918,0.053700833,0.038813355,0.679892038,0.21026197,0.062813911,,,0.010598772
